t_measurement,t_report,device_id,signal_name,value
1717234424.6583655,1717234414.6583662,device1,energy import,17.0
1717234424.6608415,1717234414.6608420,device2,energy import,0.0
1717234434.6725223,1717234424.6725237,device1,energy export,63.0
1717234434.6761792,1717234424.6761796,device1,energy import,18.0
1717234434.6777515,1717234424.6777518,device2,energy export,82.0
1717234434.6792274,1717234424.6792278,device2,energy import,9.0
1717234444.6850717,1717234434.6850724,device2,energy export,88.0
1717234444.6879960,1717234434.6879966,device2,energy import,4.0
1717234454.6999245,1717234444.6999257,device2,energy import,5.0
1717234464.7123590,1717234454.7123601,device1,energy export,60.0
1717234464.7156417,1717234454.7156425,device1,energy import,20.0
1717234464.7178118,1717234454.7178123,device2,energy export,89.0
1717234474.7295470,1717234464.7295480,device1,energy export,51.0
1717234474.7385907,1717234464.7385914,device1,energy import,17.0
1717234474.7436259,1717234464.7436270,device2,energy import,5.0
1717234484.7523625,1717234474.7523632,device2,energy import,6.0
1717234494.7624170,1717234484.7624180,device1,energy export,65.0
1717234494.7658052,1717234484.7658055,device2,energy import,7.0
1717234504.7776566,1717234494.7776575,device1,energy export,53.0
1717234504.7808783,1717234494.7808790,device1,energy import,18.0
1717234504.7829360,1717234494.7829368,device2,energy export,82.0
1717234504.7846525,1717234494.7846530,device2,energy import,4.0
1717234514.7922232,1717234504.7922240,device1,energy export,70.0
1717234514.7962880,1717234504.7962887,device2,energy import,7.0
1717234524.8081262,1717234514.8081270,device1,energy export,50.0
1717234524.8112776,1717234514.8112780,device1,energy import,10.0
1717234524.8132026,1717234514.8132029,device2,energy export,82.0
1717234524.8148508,1717234514.8148510,device2,energy import,10.0
1717234534.8256505,1717234524.8256516,device1,energy import,20.0
1717234544.8329840,1717234534.8329850,device1,energy import,10.0
1717234544.8360610,1717234534.8360612,device2,energy export,86.0
1717234564.8521310,1717234554.8521316,device1,energy export,67.0
1717234564.8552628,1717234554.8552637,device1,energy import,12.0
1717234564.8570259,1717234554.8570260,device2,energy export,82.0
1717234564.8584710,1717234554.8584710,device2,energy import,9.0
1717234574.8700535,1717234564.8700545,device1,energy export,57.0
1717234574.8736863,1717234564.8736868,device1,energy import,11.0
1717234574.8761547,1717234564.8761554,device2,energy import,5.0
1717234584.8892417,1717234574.8892424,device1,energy import,19.0
1717234584.8923500,1717234574.8923507,device2,energy import,3.0
1717234594.8945208,1717234584.8945217,device1,energy export,59.0
1717234594.8976152,1717234584.8976160,device2,energy import,0.0
1717234604.9097168,1717234594.9097190,device1,energy export,69.0
1717234604.9126490,1717234594.9126494,device1,energy import,14.0
1717234614.9161086,1717234604.9161096,device1,energy import,19.0
1717234614.9191203,1717234604.9191213,device2,energy export,85.0
1717234624.9314017,1717234614.9314024,device2,energy export,85.0
1717234634.9421177,1717234624.9421190,device1,energy import,10.0
1717234634.9455920,1717234624.9455926,device2,energy export,81.0
1717234644.9576008,1717234634.9576015,device1,energy export,70.0
1717234644.9612703,1717234634.9612710,device2,energy export,84.0
1717234644.9636905,1717234634.9636910,device2,energy import,10.0
1717234654.9757717,1717234644.9757724,device1,energy import,16.0
1717234654.9791386,1717234644.9791390,device2,energy import,5.0
1717234664.9912205,1717234654.9912214,device1,energy import,17.0
1717234664.9940739,1717234654.9940743,device2,energy export,85.0
1717234675.0061414,1717234665.0061421,device1,energy export,57.0
1717234675.0094610,1717234665.0094614,device1,energy import,10.0
1717234675.0113878,1717234665.0113883,device2,energy export,84.0
1717234675.0128467,1717234665.0128472,device2,energy import,2.0
1717234685.0223036,1717234675.0223045,device1,energy import,19.0
1717234695.0351005,1717234685.0351014,device1,energy export,57.0
1717234695.0380890,1717234685.0380898,device2,energy export,90.0
1717234695.0409110,1717234685.0409122,device2,energy import,3.0
1717234705.0521364,1717234695.0521371,device1,energy export,67.0
1717234705.0549417,1717234695.0549421,device1,energy import,12.0
1717234705.0566432,1717234695.0566437,device2,energy export,90.0
1717234705.0587404,1717234695.0587410,device2,energy import,0.0
1717234715.0706728,1717234705.0706737,device1,energy export,59.0
1717234715.0739405,1717234705.0739410,device2,energy export,89.0
1717234715.0759864,1717234705.0759869,device2,energy import,7.0
1717234725.0878234,1717234715.0878243,device2,energy import,10.0
1717234735.1009128,1717234725.1009138,device1,energy export,61.0
1717234735.1045423,1717234725.1045432,device1,energy import,20.0
1717234735.1066408,1717234725.1066418,device2,energy export,89.0
1717234745.1188160,1717234735.1188169,device1,energy export,66.0
1717234745.1216538,1717234735.1216571,device2,energy export,82.0
1717234745.1238837,1717234735.1238844,device2,energy import,8.0
1717234765.1464982,1717234755.1464992,device1,energy export,64.0
1717234775.1526215,1717234765.1526232,device1,energy export,58.0
1717234775.1556850,1717234765.1556854,device1,energy import,17.0
1717234775.1571774,1717234765.1571777,device2,energy export,88.0
1717234775.1585314,1717234765.1585320,device2,energy import,0.0
1717234785.1698394,1717234775.1698403,device1,energy export,61.0
1717234785.1731772,1717234775.1731782,device1,energy import,11.0
1717234785.1755397,1717234775.1755404,device2,energy export,82.0
1717234795.1878452,1717234785.1878460,device1,energy import,10.0
1717234805.2017822,1717234795.2017832,device1,energy import,12.0
1717234805.2046206,1717234795.2046213,device2,energy export,82.0
1717234815.2163690,1717234805.2163696,device1,energy export,56.0
1717234815.2195190,1717234805.2195199,device2,energy export,83.0
1717234815.2210984,1717234805.2210987,device2,energy import,1.0
1717234825.2325050,1717234815.2325058,device1,energy import,17.0
1717234825.2353494,1717234815.2353504,device2,energy export,90.0
1717234835.2479990,1717234825.2479997,device1,energy export,62.0
1717234835.2519395,1717234825.2519400,device1,energy import,20.0
1717234835.2540984,1717234825.2540991,device2,energy export,88.0
1717234845.2660139,1717234835.2660148,device1,energy export,64.0
1717234845.2690540,1717234835.2690551,device2,energy export,81.0
1717234855.2802773,1717234845.2802782,device1,energy export,54.0
1717234855.2830950,1717234845.2830956,device1,energy import,15.0
1717234855.2861080,1717234845.2861087,device2,energy export,80.0
1717234855.2885542,1717234845.2885550,device2,energy import,1.0
1717234865.3008106,1717234855.3008113,device1,energy export,59.0
1717234865.3042011,1717234855.3042020,device1,energy import,18.0
1717234865.3062456,1717234855.3062460,device2,energy export,80.0
1717234875.3182414,1717234865.3182425,device2,energy import,10.0
1717234885.3324802,1717234875.3324814,device1,energy export,60.0
1717234885.3362591,1717234875.3362598,device1,energy import,20.0
1717234885.3381276,1717234875.3381283,device2,energy import,3.0
1717234895.3505056,1717234885.3505065,device1,energy export,65.0
1717234905.3643622,1717234895.3643630,device2,energy import,10.0
1717234915.3773606,1717234905.3773618,device1,energy import,19.0
1717234915.3803732,1717234905.3803740,device2,energy export,88.0
1717234915.3827426,1717234905.3827434,device2,energy import,6.0
1717234925.3953695,1717234915.3953702,device1,energy import,20.0
1717234925.3985050,1717234915.3985057,device2,energy export,86.0
1717234925.4000995,1717234915.4001000,device2,energy import,7.0
1717234935.4021650,1717234925.4021664,device1,energy export,54.0
1717234935.4058995,1717234925.4059000,device1,energy import,20.0
1717234935.4077342,1717234925.4077349,device2,energy export,85.0
1717234955.4288502,1717234945.4288514,device1,energy export,64.0
1717234955.4320087,1717234945.4320092,device1,energy import,14.0
1717234955.4343836,1717234945.4343843,device2,energy import,9.0
1717234965.4463570,1717234955.4463577,device1,energy export,56.0
1717234965.4518247,1717234955.4518256,device2,energy import,5.0
1717234975.4668970,1717234965.4668977,device1,energy import,20.0
1717234975.4704306,1717234965.4704323,device2,energy import,2.0
1717234985.4827542,1717234975.4827554,device1,energy import,12.0
1717234995.4962673,1717234985.4962680,device1,energy export,69.0
1717234995.4994442,1717234985.4994450,device1,energy import,18.0
1717234995.5017648,1717234985.5017657,device2,energy export,80.0
1717234995.5038314,1717234985.5038316,device2,energy import,8.0
1717235005.5156903,1717234995.5156913,device1,energy import,20.0
1717235005.5188980,1717234995.5188987,device2,energy export,80.0
1717235005.5218282,1717234995.5218290,device2,energy import,9.0
1717235015.5335703,1717235005.5335715,device1,energy import,12.0
1717235015.5370760,1717235005.5370767,device2,energy export,87.0
1717235015.5402126,1717235005.5402133,device2,energy import,8.0
1717235025.5532935,1717235015.5532944,device1,energy import,15.0
1717235025.5570440,1717235015.5570447,device2,energy export,81.0
1717235035.5692150,1717235025.5692172,device1,energy import,11.0
1717235035.5726664,1717235025.5726671,device2,energy export,80.0
1717235045.5821772,1717235035.5821780,device1,energy export,58.0
1717235045.5855000,1717235035.5855007,device1,energy import,18.0
1717235045.5883987,1717235035.5883994,device2,energy export,82.0
1717235055.6014633,1717235045.6014643,device1,energy export,57.0
1717235055.6050527,1717235045.6050532,device2,energy import,1.0
1717235065.6171455,1717235055.6171467,device2,energy export,89.0
1717235075.6254907,1717235065.6254916,device2,energy export,82.0
1717235085.6391466,1717235075.6391473,device1,energy export,54.0
1717235085.6424975,1717235075.6424983,device1,energy import,10.0
1717235085.6453476,1717235075.6453480,device2,energy export,80.0
1717235095.6576750,1717235085.6576762,device2,energy export,80.0
1717235095.6608818,1717235085.6608822,device2,energy import,7.0
1717235105.6734324,1717235095.6734330,device1,energy import,16.0
1717235115.6870820,1717235105.6870830,device1,energy import,11.0
1717235115.6902838,1717235105.6902845,device2,energy export,87.0
1717235125.7025619,1717235115.7025628,device1,energy export,50.0
1717235125.7062085,1717235115.7062104,device1,energy import,14.0
1717235135.7169745,1717235125.7169760,device2,energy export,83.0
1717235145.7301390,1717235135.7301400,device1,energy export,58.0
1717235145.7330487,1717235135.7330494,device1,energy import,17.0
1717235155.7453895,1717235145.7453904,device1,energy export,67.0
1717235155.7495360,1717235145.7495370,device1,energy import,20.0
1717235155.7530610,1717235145.7530615,device2,energy import,6.0
1717235165.7672935,1717235155.7672942,device2,energy import,10.0
1717235175.7809900,1717235165.7809908,device2,energy export,81.0
1717235185.7938323,1717235175.7938330,device1,energy export,68.0
1717235185.7972593,1717235175.7972600,device1,energy import,12.0
1717235185.7996135,1717235175.7996147,device2,energy export,85.0
1717235185.8019300,1717235175.8019316,device2,energy import,6.0
1717235195.8138945,1717235185.8138960,device2,energy import,7.0
1717235205.8270462,1717235195.8270470,device1,energy import,19.0
1717235205.8298264,1717235195.8298270,device2,energy import,5.0
1717235215.8417530,1717235205.8417542,device1,energy export,59.0
1717235215.8446162,1717235205.8446171,device1,energy import,15.0
1717235215.8467329,1717235205.8467336,device2,energy import,7.0
1717235225.8588984,1717235215.8588994,device1,energy export,58.0
1717235225.8622684,1717235215.8622692,device2,energy import,3.0
1717235235.8738751,1717235225.8738763,device1,energy import,16.0
1717235235.8768650,1717235225.8768659,device2,energy import,8.0
1717235245.8817000,1717235235.8817020,device1,energy import,15.0
1717235245.8847706,1717235235.8847710,device2,energy import,6.0
1717235255.8968700,1717235245.8968710,device1,energy import,20.0
1717235265.9016466,1717235255.9016478,device1,energy import,11.0
1717235265.9049935,1717235255.9049942,device2,energy export,85.0
1717235265.9074209,1717235255.9074214,device2,energy import,1.0
1717235275.9207150,1717235265.9207165,device1,energy export,68.0
1717235275.9241884,1717235265.9241886,device2,energy export,90.0
1717235275.9256737,1717235265.9256740,device2,energy import,3.0
1717235285.9364388,1717235275.9364400,device1,energy export,53.0
1717235295.9411337,1717235285.9411347,device1,energy export,55.0
1717235295.9442890,1717235285.9442904,device2,energy export,84.0
1717235295.9463770,1717235285.9463775,device2,energy import,0.0
1717235305.9515230,1717235295.9515238,device1,energy import,10.0
1717235305.9542563,1717235295.9542575,device2,energy import,6.0
1717235315.9610250,1717235305.9610257,device1,energy import,11.0
1717235315.9641507,1717235305.9641516,device2,energy import,1.0
1717235325.9753473,1717235315.9753487,device1,energy export,55.0
1717235335.9810183,1717235325.9810190,device1,energy export,67.0
1717235335.9841660,1717235325.9841666,device1,energy import,14.0
1717235335.9872127,1717235325.9872134,device2,energy export,85.0
1717235345.9909060,1717235335.9909074,device2,energy export,82.0
1717235345.9937723,1717235335.9937730,device2,energy import,5.0
1717235356.0040271,1717235346.0040283,device1,energy export,60.0
1717235356.0077314,1717235346.0077322,device2,energy export,89.0
1717235356.0110652,1717235346.0110662,device2,energy import,6.0
1717235366.0236616,1717235356.0236626,device2,energy export,85.0
1717235366.0270076,1717235356.0270083,device2,energy import,4.0
1717235376.0398738,1717235366.0398748,device1,energy export,56.0
1717235386.0536222,1717235376.0536232,device1,energy import,10.0
1717235386.0571983,1717235376.0571995,device2,energy export,83.0
1717235396.0691183,1717235386.0691190,device1,energy export,66.0
1717235396.0721786,1717235386.0721788,device1,energy import,20.0
1717235396.0737120,1717235386.0737123,device2,energy export,85.0
1717235406.0850475,1717235396.0850484,device1,energy import,12.0
1717235406.0877383,1717235396.0877390,device2,energy export,85.0
1717235416.0995347,1717235406.0995357,device1,energy import,14.0
1717235416.1024055,1717235406.1024065,device2,energy export,88.0
1717235426.1144025,1717235416.1144037,device2,energy export,88.0
1717235446.1207000,1717235436.1207006,device2,energy export,83.0
1717235446.1229177,1717235436.1229181,device2,energy import,7.0
1717235456.1287910,1717235446.1287918,device1,energy import,15.0
1717235456.1310440,1717235446.1310449,device2,energy export,90.0
1717235456.1326510,1717235446.1326518,device2,energy import,2.0
1717235466.1443353,1717235456.1443367,device1,energy export,56.0
1717235466.1474438,1717235456.1474445,device2,energy export,88.0
1717235466.1490695,1717235456.1490700,device2,energy import,1.0
1717235476.1556904,1717235466.1556916,device1,energy export,51.0
1717235476.1586287,1717235466.1586294,device2,energy export,89.0
1717235486.1704063,1717235476.1704070,device1,energy import,19.0
1717235486.1730964,1717235476.1730971,device2,energy export,83.0
1717235496.1851852,1717235486.1851861,device1,energy import,16.0
1717235506.1958637,1717235496.1958647,device1,energy import,13.0
1717235516.2002788,1717235506.2002797,device1,energy export,65.0
1717235516.2026850,1717235506.2026863,device2,energy export,82.0
1717235516.2050707,1717235506.2050714,device2,energy import,5.0
1717235536.2228074,1717235526.2228084,device1,energy import,13.0
1717235546.2353969,1717235536.2353976,device1,energy export,66.0
1717235546.2380524,1717235536.2380528,device1,energy import,20.0
1717235556.2493658,1717235546.2493668,device1,energy export,69.0
1717235556.2521474,1717235546.2521482,device1,energy import,18.0
1717235556.2535322,1717235546.2535324,device2,energy export,85.0
1717235566.2563567,1717235556.2563577,device1,energy export,63.0
1717235566.2591653,1717235556.2591660,device2,energy export,87.0
1717235576.2710930,1717235566.2710938,device1,energy import,15.0
1717235586.2800403,1717235576.2800410,device2,energy export,84.0
1717235596.2928310,1717235586.2928317,device1,energy import,16.0
1717235596.2957118,1717235586.2957122,device2,energy export,83.0
1717235596.2973678,1717235586.2973683,device2,energy import,3.0
1717235606.3000777,1717235596.3000786,device2,energy export,84.0
1717235606.3024182,1717235596.3024192,device2,energy import,2.0
1717235616.3138232,1717235606.3138240,device1,energy export,67.0
1717235616.3161390,1717235606.3161395,device1,energy import,13.0
1717235616.3181825,1717235606.3181832,device2,energy export,90.0
1717235626.3300323,1717235616.3300330,device1,energy export,65.0
1717235626.3327496,1717235616.3327500,device1,energy import,15.0
1717235626.3343685,1717235616.3343687,device2,energy export,87.0
1717235636.3424213,1717235626.3424222,device1,energy export,69.0
1717235636.3449550,1717235626.3449552,device1,energy import,20.0
1717235636.3462474,1717235626.3462477,device2,energy export,80.0
1717235646.3500280,1717235636.3500288,device2,energy export,86.0
1717235656.3600192,1717235646.3600200,device1,energy export,70.0
1717235656.3625708,1717235646.3625712,device1,energy import,16.0
1717235666.3741012,1717235656.3741024,device1,energy export,61.0
1717235676.3865461,1717235666.3865470,device2,energy export,87.0
1717235676.3895724,1717235666.3895729,device2,energy import,2.0
1717235686.4010642,1717235676.4010649,device1,energy export,51.0
1717235686.4037110,1717235676.4037116,device1,energy import,14.0
1717235686.4051487,1717235676.4051492,device2,energy export,87.0
1717235686.4067304,1717235676.4067310,device2,energy import,0.0
1717235696.4099033,1717235686.4099045,device1,energy export,53.0
1717235696.4124372,1717235686.4124380,device1,energy import,17.0
1717235696.4143794,1717235686.4143798,device2,energy import,7.0
1717235706.4198282,1717235696.4198290,device2,energy import,4.0
1717235716.4298560,1717235706.4298570,device2,energy export,85.0
1717235726.4427161,1717235716.4427170,device1,energy export,66.0
1717235726.4452622,1717235716.4452627,device1,energy import,12.0
1717235726.4465432,1717235716.4465435,device2,energy import,2.0
1717235736.4579060,1717235726.4579070,device1,energy export,58.0
1717235736.4607656,1717235726.4607663,device1,energy import,20.0
1717235736.4625134,1717235726.4625140,device2,energy import,8.0
1717235746.4660130,1717235736.4660141,device1,energy export,65.0
1717235746.4687948,1717235736.4687953,device1,energy import,16.0
1717235746.4706085,1717235736.4706092,device2,energy export,86.0
1717235756.4735800,1717235746.4735806,device1,energy import,18.0
1717235756.4756756,1717235746.4756760,device2,energy export,85.0
1717235766.4873204,1717235756.4873214,device2,energy import,3.0
1717235776.5002403,1717235766.5002415,device1,energy export,64.0
1717235776.5030530,1717235766.5030537,device1,energy import,11.0
1717235776.5044860,1717235766.5044863,device2,energy import,9.0
1717235786.5156520,1717235776.5156527,device2,energy export,81.0
1717235786.5182922,1717235776.5182931,device2,energy import,2.0
1717235796.5296695,1717235786.5296705,device1,energy export,64.0
1717235796.5324225,1717235786.5324235,device2,energy import,8.0
1717235806.5445275,1717235796.5445285,device2,energy export,80.0
1717235816.5571153,1717235806.5571167,device1,energy export,58.0
1717235816.5596309,1717235806.5596316,device1,energy import,13.0
1717235816.5612876,1717235806.5612880,device2,energy export,83.0
1717235816.5628457,1717235806.5628462,device2,energy import,9.0
1717235826.5745060,1717235816.5745070,device1,energy import,20.0
1717235826.5774598,1717235816.5774605,device2,energy export,89.0
1717235826.5792923,1717235816.5792930,device2,energy import,6.0
1717235836.5914376,1717235826.5914383,device1,energy export,61.0
1717235856.6141133,1717235846.6141143,device1,energy export,59.0
1717235856.6179300,1717235846.6179320,device1,energy import,18.0
1717235856.6203600,1717235846.6203609,device2,energy export,87.0
1717235866.6328294,1717235856.6328301,device2,energy export,90.0
1717235876.6463819,1717235866.6463828,device1,energy import,16.0
1717235876.6496534,1717235866.6496544,device2,energy export,82.0
1717235876.6511927,1717235866.6511931,device2,energy import,8.0
1717235886.6635618,1717235876.6635637,device1,energy export,69.0
1717235886.6669722,1717235876.6669726,device1,energy import,12.0
1717235886.6688979,1717235876.6688986,device2,energy import,2.0
1717235896.6815770,1717235886.6815784,device2,energy export,86.0
1717235896.6842440,1717235886.6842444,device2,energy import,10.0
1717235906.6962245,1717235896.6962268,device1,energy export,59.0
1717235906.6988983,1717235896.6988993,device1,energy import,11.0
1717235906.7009080,1717235896.7009090,device2,energy import,6.0
1717235916.7134125,1717235906.7134151,device1,energy export,54.0
1717235916.7164946,1717235906.7164953,device2,energy export,83.0
1717235926.7285469,1717235916.7285478,device1,energy export,63.0
1717235936.7418492,1717235926.7418500,device1,energy export,54.0
1717235936.7451878,1717235926.7451887,device1,energy import,16.0
1717235946.7572646,1717235936.7572653,device1,energy export,65.0
1717235946.7605152,1717235936.7605162,device1,energy import,19.0
1717235946.7625077,1717235936.7625086,device2,energy export,81.0
1717235956.7741513,1717235946.7741525,device1,energy import,14.0
1717235956.7766838,1717235946.7766845,device2,energy export,81.0
1717235966.7885244,1717235956.7885250,device1,energy export,51.0
1717235966.7917778,1717235956.7917783,device2,energy import,0.0
1717235976.8035076,1717235966.8035085,device1,energy export,56.0
1717235976.8063357,1717235966.8063369,device2,energy export,84.0
1717235986.8094857,1717235976.8094866,device2,energy export,87.0
1717235986.8117964,1717235976.8117967,device2,energy import,5.0
1717235996.8240352,1717235986.8240360,device1,energy export,56.0
1717235996.8271782,1717235986.8271804,device1,energy import,13.0
1717236006.8295436,1717235996.8295448,device1,energy export,50.0
1717236006.8325233,1717235996.8325240,device2,energy export,87.0
1717236006.8341794,1717235996.8341796,device2,energy import,7.0
1717236016.8456042,1717236006.8456050,device1,energy import,16.0
1717236016.8482647,1717236006.8482654,device2,energy import,9.0
1717236026.8607767,1717236016.8607776,device1,energy export,55.0
1717236026.8630114,1717236016.8630120,device1,energy import,10.0
1717236026.8646026,1717236016.8646033,device2,energy export,86.0
1717236026.8662750,1717236016.8662758,device2,energy import,9.0
1717236036.8785174,1717236026.8785188,device2,energy export,89.0
1717236036.8812952,1717236026.8812957,device2,energy import,3.0
1717236046.8924253,1717236036.8924263,device2,energy export,88.0
1717236046.8951857,1717236036.8951864,device2,energy import,6.0
1717236056.8994908,1717236046.8994918,device1,energy export,56.0
1717236056.9018793,1717236046.9018803,device1,energy import,16.0
1717236056.9035420,1717236046.9035428,device2,energy import,5.0
1717236066.9153113,1717236056.9153123,device1,energy export,62.0
1717236066.9178283,1717236056.9178288,device2,energy export,80.0
1717236066.9193876,1717236056.9193878,device2,energy import,8.0
1717236076.9316478,1717236066.9316490,device2,energy export,84.0
1717236086.9446790,1717236076.9446802,device2,energy import,9.0
1717236096.9575365,1717236086.9575384,device1,energy import,19.0
1717236096.9604225,1717236086.9604228,device2,energy export,82.0
1717236096.9619725,1717236086.9619732,device2,energy import,5.0
1717236106.9744458,1717236096.9744468,device2,energy export,85.0
1717236116.9857366,1717236106.9857376,device2,energy export,83.0
1717236116.9885370,1717236106.9885375,device2,energy import,5.0
1717236127.0001552,1717236117.0001560,device2,energy export,80.0
1717236137.0132535,1717236127.0132544,device1,energy import,19.0
1717236137.0163834,1717236127.0163840,device2,energy export,82.0
1717236147.0283618,1717236137.0283635,device1,energy export,67.0
1717236147.0340000,1717236137.0340009,device1,energy import,15.0
1717236147.0361252,1717236137.0361254,device2,energy import,3.0
1717236157.0481436,1717236147.0481446,device1,energy export,64.0
1717236157.0515368,1717236147.0515378,device1,energy import,13.0
1717236157.0541213,1717236147.0541220,device2,energy export,83.0
1717236167.0599227,1717236157.0599241,device1,energy export,56.0
1717236177.0697982,1717236167.0697992,device1,energy export,60.0
1717236177.0729506,1717236167.0729510,device2,energy export,89.0
1717236187.0847158,1717236177.0847168,device1,energy export,69.0
1717236187.0888690,1717236177.0888700,device1,energy import,16.0
1717236187.0912874,1717236177.0912879,device2,energy export,81.0
1717236197.1036198,1717236187.1036208,device1,energy export,50.0
1717236197.1073527,1717236187.1073537,device1,energy import,19.0
1717236217.1302264,1717236207.1302276,device1,energy export,60.0
1717236217.1331925,1717236207.1331933,device1,energy import,11.0
1717236227.1452136,1717236217.1452146,device1,energy import,10.0
1717236237.1602662,1717236227.1602670,device1,energy export,68.0
1717236237.1638296,1717236227.1638308,device2,energy export,83.0
1717236237.1655567,1717236227.1655576,device2,energy import,4.0
1717236247.1775255,1717236237.1775286,device2,energy export,89.0
1717236247.1818275,1717236237.1818280,device2,energy import,5.0
1717236257.1940080,1717236247.1940093,device2,energy import,2.0
1717236267.2001424,1717236257.2001430,device1,energy export,57.0
1717236267.2037230,1717236257.2037241,device2,energy import,9.0
1717236277.2163296,1717236267.2163322,device1,energy export,60.0
1717236287.2307515,1717236277.2307658,device2,energy export,85.0
1717236287.2365742,1717236277.2365746,device2,energy import,5.0
1717236297.2493950,1717236287.2493963,device2,energy export,85.0
1717236307.2598915,1717236297.2598922,device1,energy export,69.0
1717236307.2633905,1717236297.2633915,device1,energy import,15.0
1717236317.2763531,1717236307.2763557,device1,energy export,58.0
1717236317.2803574,1717236307.2803580,device1,energy import,11.0
1717236317.2823992,1717236307.2824016,device2,energy export,87.0
1717236327.2944725,1717236317.2944753,device1,energy export,55.0
1717236327.2989764,1717236317.2989771,device1,energy import,13.0
1717236327.3010890,1717236317.3010895,device2,energy export,84.0
1717236337.3125422,1717236327.3125430,device1,energy export,56.0
1717236337.3161511,1717236327.3161519,device1,energy import,11.0
1717236347.3218713,1717236337.3218725,device2,energy export,83.0
1717236357.3359551,1717236347.3359585,device1,energy export,51.0
1717236357.3392546,1717236347.3392560,device2,energy export,86.0
1717236357.3413851,1717236347.3413870,device2,energy import,5.0
1717236367.3531866,1717236357.3531876,device2,energy import,9.0
1717236377.3663855,1717236367.3663864,device1,energy export,68.0
1717236387.3798792,1717236377.3798802,device2,energy export,87.0
1717236387.3835590,1717236377.3835604,device2,energy import,6.0
1717236397.3961728,1717236387.3961759,device1,energy export,60.0
1717236397.3993495,1717236387.3993510,device1,energy import,19.0
1717236397.4023244,1717236387.4023280,device2,energy export,83.0
1717236407.4148590,1717236397.4148600,device2,energy export,85.0
1717236407.4184496,1717236397.4184504,device2,energy import,0.0
1717236417.4309450,1717236407.4309460,device2,energy import,5.0
1717236427.4442098,1717236417.4442108,device1,energy import,16.0
1717236437.4579046,1717236427.4579053,device1,energy export,60.0
1717236437.4617922,1717236427.4617930,device1,energy import,11.0
1717236457.4794762,1717236447.4794772,device1,energy import,19.0
1717236467.4933310,1717236457.4933320,device1,energy export,56.0
1717236467.4970171,1717236457.4970176,device1,energy import,10.0
1717236467.4992075,1717236457.4992082,device2,energy import,9.0
1717236477.5117310,1717236467.5117316,device1,energy import,12.0
1717236477.5160750,1717236467.5160756,device2,energy import,6.0
1717236487.5296793,1717236477.5296805,device1,energy import,10.0
1717236487.5333320,1717236477.5333328,device2,energy export,85.0
1717236487.5357573,1717236477.5357578,device2,energy import,6.0
1717236497.5473780,1717236487.5473790,device1,energy export,60.0
1717236497.5500145,1717236487.5500152,device1,energy import,11.0
1717236497.5516636,1717236487.5516640,device2,energy export,86.0
1717236497.5530627,1717236487.5530634,device2,energy import,0.0
1717236507.5652983,1717236497.5652995,device1,energy export,65.0
1717236507.5693552,1717236497.5693557,device1,energy import,16.0
1717236507.5713313,1717236497.5713320,device2,energy import,0.0
1717236517.5834956,1717236507.5834970,device2,energy export,83.0
1717236527.5973876,1717236517.5973900,device2,energy import,10.0
1717236537.6111324,1717236527.6111338,device1,energy export,59.0
1717236537.6146035,1717236527.6146047,device1,energy import,12.0
1717236537.6164220,1717236527.6164227,device2,energy import,4.0
1717236547.6283727,1717236537.6283746,device1,energy export,59.0
1717236547.6323822,1717236537.6323836,device2,energy export,88.0
1717236557.6446428,1717236547.6446445,device2,energy import,2.0
